event_date,category,topic,company,title,capacity_mw,status_after,materiality_score,confidence,review_status,source_name,source_url
2026-08-24,Project & investment,Wind financing,GULF,GULF secures long-term project financing for three wind projects,,,7,0.92,verified_seed,GULF SET announcement,https://investor.gulf.co.th/en/newsroom/set-announcements?page=1
2026-07-20,Project & investment,Renewable PPA,GUNKUL,GUNKUL signs PPAs for three solar and wind projects,,PPA signed,7,0.97,verified_seed,GUNKUL SET announcement,https://www.set.or.th/en/market/news-and-alert/newsdetails?id=105471800&symbol=GUNKUL
2026-07-15,Market design,Direct PPA / green procurement,,โครงการปรับปรุงระบบส่งไฟฟ้าเพื่อรองรับการรับซื้อไฟฟ้าจากพลังงานหมุนเวียนของการไฟฟ้าฝ่ายผลิตแห่งประเทศไทย 23 ก.ค. 2569 ถึง 06 ส.ค. 2569,,,9,0.95,auto,ERC consultations,https://www.erc.or.th/th/listen-to-opinions/602
,Policy & regulation,PDP2026,,นโยบายและแผนพลังงาน,,,10,0.75,auto,EPPO news,https://www.eppo.go.th/plan-policy/energy-plan/แผนพัฒนากำลังผลิตไฟฟ้า
,Tariff & economics,Tariff / Ft,,นโยบายการกำหนดโครงสร้างอัตราค่าไฟฟ้าของประเทศไทย,,,9,0.75,auto,EPPO news,https://www.eppo.go.th/plan-policy/energy-policy/electric/%e0%b8%99%e0%b9%82%e0%b8%a2%e0%b8%9a%e0%b8%b2%e0%b8%a2%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b8%81%e0%b8%b3%e0%b8%ab%e0%b8%99%e0%b8%94%e0%b9%82%e0%b8%84%e0%b8%a3%e0%b8%87%e0%b8%aa%e0%b8%a3%e0%b9%89%e0%b8%b2
,Tariff & economics,Tariff / Ft,,ราคาพลังงานและอัตราค่าไฟฟ้า,,,9,0.75,auto,EPPO news,https://www.eppo.go.th/category/information-services/advertise/news-eppo
,Tariff & economics,Tariff / Ft,,อัตราค่าไฟฟ้าขายส่ง,,,9,0.75,auto,EPPO news,https://www.eppo.go.th/data-energy-statistic/energy-price-th/%e0%b8%ad%e0%b8%b1%e0%b8%95%e0%b8%a3%e0%b8%b2%e0%b8%84%e0%b9%88%e0%b8%b2%e0%b9%84%e0%b8%9f%e0%b8%9f%e0%b9%89%e0%b8%b2%e0%b8%82%e0%b8%b2%e0%b8%a2%e0%b8%aa%e0%b9%88%e0%b8%87
,Tariff & economics,Tariff / Ft,,อัตราค่าไฟฟ้าขายปลีก,,,9,0.75,auto,EPPO news,https://www.eppo.go.th/data-energy-statistic/energy-price-th/%e0%b8%ad%e0%b8%b1%e0%b8%95%e0%b8%a3%e0%b8%b2%e0%b8%84%e0%b9%88%e0%b8%b2%e0%b9%84%e0%b8%9f%e0%b8%9f%e0%b9%89%e0%b8%b2%e0%b8%82%e0%b8%b2%e0%b8%a2%e0%b8%9b%e0%b8%a5%e0%b8%b5%e0%b8%81
,Tariff & economics,Tariff / Ft,,นโยบายด้านพลังงาน,,,9,0.75,auto,EPPO news,https://www.eppo.go.th/category/information-services/advertise/news-eppo
,Tariff & economics,Tariff / Ft,,เอกสารเผยแพร่,,,9,0.75,auto,EPPO news,https://www.eppo.go.th/category/information-services/advertise/news-eppo
,Tariff & economics,Tariff / Ft,,โปรแกรมคำนวณค่าไฟฟ้า,,,9,0.75,auto,EPPO news,https://www.eppo.go.th/category/information-services/advertise/news-eppo
,Grid & system,Grid / transmission,GUNKUL,Solar Rooftop,,,8,0.75,auto,GUNKUL SET announcements,https://www.gunkul.com/en/businesses/energy-business/solar-rooftop
,Grid & system,Grid / transmission,,แผนพัฒนากำลังผลิตไฟฟ้า (PDP) แผนอนุรักษ์พลังงาน (EEP) แผนพัฒนาพลังงานทดแทน (AEDP) แผน Smart grid,,,7,0.75,auto,EPPO news,https://www.eppo.go.th/category/information-services/advertise/news-eppo
,Grid & system,Grid / transmission,,แผน Smart grid,,,7,0.75,auto,EPPO news,https://www.eppo.go.th/plan-policy/energy-plan/energy-plan-smart-grid/smart-grid-2
,Grid & system,Grid / transmission,,เวทีเสวนา KT Dialogue New Horizon: Smart Grid,,,7,0.75,auto,EPPO news,https://www.eppo.go.th/information-services/advertise/news-eppo/%e0%b9%80%e0%b8%a7%e0%b8%97%e0%b8%b5%e0%b9%80%e0%b8%aa%e0%b8%a7%e0%b8%99%e0%b8%b2-kt-dialogue-new-horizon-smart-grid
,Grid & system,Grid / transmission,,แผนด้านพลังงาน,,,7,0.75,auto,EPPO news,https://www.eppo.go.th/plan-policy/energy-plan/แผนพัฒนากำลังผลิตไฟฟ้า
,Grid & system,Grid / transmission,GUNKUL,Energy Business,,,7,0.75,auto,GUNKUL SET announcements,https://www.gunkul.com/en/businesses/energy-business
,Grid & system,Grid / transmission,GUNKUL,Solar Farm,,,7,0.75,auto,GUNKUL SET announcements,https://www.gunkul.com/en/businesses/energy-business/solar-farm
,Grid & system,Grid / transmission,GUNKUL,Floating Solar Farm,,,7,0.75,auto,GUNKUL SET announcements,https://www.gunkul.com/en/businesses/energy-business/floating-solar-farm
,Grid & system,Grid / transmission,GUNKUL,High Voltage Equipment Business,,,7,0.75,auto,GUNKUL SET announcements,https://www.gunkul.com/en/businesses/high-voltage-equipment-business
,Grid & system,Grid / transmission,GUNKUL,Transmission Lines,,,7,0.75,auto,GUNKUL SET announcements,https://www.gunkul.com/en/businesses/high-voltage-equipment-business/transmission-lines
,Project & investment,Power / renewables project,BGRIM,Power Plants Overview,6640.0,,7,0.75,auto,B.Grimm Power SET announcements,https://www.bgrimmpower.com/en/power-plants/overview
,Project & investment,Power / renewables project,BGRIM,Code of Conduct,,,5,0.75,auto,B.Grimm Power SET announcements,https://www.bgrimmpower.com/en/corporate-governance/code-of-conduct
,Project & investment,Power / renewables project,,นโยบายการรับซื้อไฟฟ้าจากพลังงานหมุนเวียน,,,4,0.75,auto,EPPO news,https://www.eppo.go.th/plan-policy/energy-policy/electric/%e0%b8%99%e0%b9%82%e0%b8%a2%e0%b8%9a%e0%b8%b2%e0%b8%a2%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b8%a3%e0%b8%b1%e0%b8%9a%e0%b8%8b%e0%b8%b7%e0%b9%89%e0%b8%ad%e0%b9%84%e0%b8%9f%e0%b8%9f%e0%b9%89%e0%b8%b2%e0%b8%88
,Project & investment,Power / renewables project,GUNKUL,Businesses,,,4,0.75,auto,GUNKUL SET announcements,javascript:;
,Project & investment,Power / renewables project,GUNKUL,Wind Farm,,,4,0.75,auto,GUNKUL SET announcements,https://www.gunkul.com/en/businesses/energy-business/wind-farm
,Project & investment,Power / renewables project,GUNKUL,GRoof: Residential Solar Rooftop,,,4,0.75,auto,GUNKUL SET announcements,https://www.gunkul.com/en/businesses/energy-business/groof-residential-solar-rooftop
,Project & investment,Power / renewables project,GUNKUL,I-REC Service (International Renewable Energy Certificates),,,4,0.75,auto,GUNKUL SET announcements,https://www.gunkul.com/en/businesses/energy-business/i-rec-service-international-renewable-energy-certificates
,Project & investment,Power / renewables project,GUNKUL,Ecosystem Business Platform and Innovations,,,4,0.75,auto,GUNKUL SET announcements,https://www.gunkul.com/en/businesses/ecosystem-business-platform-and-innovations
,Project & investment,Power / renewables project,GUNKUL,Battery Energy Storage System and Virtual Power Plant Business,,,4,0.75,auto,GUNKUL SET announcements,https://www.gunkul.com/en/businesses/ecosystem-business-platform-and-innovations/battery-energy-storage-system-and-virtual-power-plant-business
,Project & investment,Power / renewables project,BGRIM,Energy Solutions,,,4,0.75,auto,B.Grimm Power SET announcements,javascript:void(0)
,Project & investment,Power / renewables project,BGRIM,Solar Rooftop,,,4,0.75,auto,B.Grimm Power SET announcements,https://www.bgrimmpower.com/en/energy-solutions/solar-rooftop
,Project & investment,Power / renewables project,BGRIM,Head Office & Power Plants,,,4,0.75,auto,B.Grimm Power SET announcements,https://www.bgrimmpower.com/en/contact-us/head-office-power-plants
,Project & investment,Power / renewables project,GPSC,Our Business,,,4,0.75,auto,GPSC SET announcements,javascript:void(0);
,Project & investment,Power / renewables project,GPSC,Renewable Energy,,,4,0.75,auto,GPSC SET announcements,https://www.gpscgroup.com/en/business/project?category=3
,Project & investment,Power / renewables project,GPSC,Good Corporate Governance Policy and Code of Conduct,,,4,0.75,auto,GPSC SET announcements,https://www.gpscgroup.com/en/cg/good-corporate-governance-policy-and-code-of-conduct
,Project & investment,Power / renewables project,GPSC,Energy Storage System,,,4,0.75,auto,GPSC SET announcements,https://www.gpscgroup.com/en/search?q=Energy%20Storage%20System
,Other,,,ประมวลหลักการปฏิบัติ (Code of Practice),,,2,0.75,auto,ERC news releases,https://www.erc.or.th/th/code-of-practice
,Other,,,กฎหมายการรับซื้อไฟฟ้า,,,2,0.75,auto,ERC news releases,https://www.erc.or.th/th/news-release
,Other,,,ประมวลหลักการปฏิบัติ (Code Of Practice: CoP),,,2,0.75,auto,ERC news releases,https://www.erc.or.th/th/news-release
,Other,,,รายงานการรับซื้อไฟฟ้า,,,2,0.75,auto,ERC news releases,https://www.erc.or.th/th/electricity-purchase
,Other,,,ราคาไฟฟ้าโดยอัตโนมัติ (Ft),,,2,0.75,auto,EPPO news,https://www.eppo.go.th/data-energy-statistic/energy-price-th/%e0%b8%a3%e0%b8%b2%e0%b8%84%e0%b8%b2%e0%b9%84%e0%b8%9f%e0%b8%9f%e0%b9%89%e0%b8%b2%e0%b9%82%e0%b8%94%e0%b8%a2%e0%b8%ad%e0%b8%b1%e0%b8%95%e0%b9%82%e0%b8%99%e0%b8%a1%e0%b8%b1%e0%b8%95%e0%b8%b4-ft
,Other,,,การส่งเสริมการผลิตไฟฟ้าภาคเอกชน,,,2,0.75,auto,EPPO news,https://www.eppo.go.th/category/information-services/advertise/news-eppo
,Other,,,แนวทางการรับซื้อไฟฟ้า,,,2,0.75,auto,EPPO news,https://www.eppo.go.th/plan-policy/energy-policy/electric/%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b8%aa%e0%b9%88%e0%b8%87%e0%b9%80%e0%b8%aa%e0%b8%a3%e0%b8%b4%e0%b8%a1%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b8%9c%e0%b8%a5%e0%b8%b4%e0%b8%95%e0%b9%84%e0%b8%9f%e0%b8%9f%e0%b9%89
,Other,,GUNKUL,Private PPA,,,2,0.75,auto,GUNKUL SET announcements,https://www.gunkul.com/en/businesses/energy-business/private-ppa
,Other,,GUNKUL,Operation and Maintenance of Power Plants Business,,,2,0.75,auto,GUNKUL SET announcements,https://www.gunkul.com/en/businesses/energy-business/operation-and-maintenance-of-power-plants-business
,Other,,GUNKUL,Virtual Power Plant (VPP) Sandbox,,,2,0.75,auto,GUNKUL SET announcements,https://www.gunkul.com/en/businesses/ecosystem-business-platform-and-innovations/virtual-power-plant-vpp-sandbox
,Other,,BGRIM,Corporate Governance,,,2,0.75,auto,B.Grimm Power SET announcements,javascript:void(0)
,Other,,BGRIM,Contact Us,,,2,0.75,auto,B.Grimm Power SET announcements,javascript:void(0)
,Other,,GPSC,Corporate Governance,,,2,0.75,auto,GPSC SET announcements,javascript:void(0);
